Driver-at-fault,Who-off-track,Race,Year
Sutil,Grosjean,bahrain,2014
Sainz,Other,russia,2016
Vettel,Massa,great-britain,2016
Magnussen,Magnussen,united-states,2016
Kvyat,Kvyat,mexico,2016
Verstappen,Verstappen,mexico,2016
Sainz,Alonso,mexico,2016
Magnussen,Other,hungary,2017
Verstappen,Verstappen,united-states,2017
Esteban Ocon,Esteban Ocon,abu-dhabi,2018
Alonso,Alonso,abu-dhabi,2018
Magnussen,Magnussen,monaco,2019
Stroll,Stroll,monaco,2019
Vettel,Other,canada,2019
Ricciardo,Ricciardo,france,2019
Magnussen,Magnussen,russia,2019
Magnussen,Magnussen,great-britain,2020
Albon,Albon,russia,2020
Ricciardo,Ricciardo,russia,2020
Grosjean,Grosjean,portugal,2020
Grosjean,Grosjean,imola,2020
Stroll,Stroll,imola,2021
Tsunoda,Tsunoda,imola,2021
Perez,Other,austria,2021
Perez,Perez,italy,2021
Verstappen,Verstappen,saudi-arabia,2021
Alonso,Alonso,miami,2022
Ricciardo,Ricciardo,miami,2022
Albon,Albon,spain,2022
Albon,Albon,monaco,2022
Vettel,Vettel,austria,2022
Leclerc,Leclerc,japan,2022
Albon,Albon,united-states,2022
Schumacher,Schumacher,united-states,2022
Latifi,Other,united-states,2022
Hulkenberg,Hulkenberg,bahrain,2023
