Note,Race,Year
"Note - Kovalainen penalised five grid spots for safety-car infringement at previous round. Raikkonen penalised five grid spots for unscheduled gearbox change. Karthikeyan finished 21st, but had 20 seconds added to race time for causing a collision.",malaysia/11,2012
"Note - Ericsson qualified 22nd, but was required to start from the pit lane for causing a collision. Bianchi qualified 19th, but was dropped five grid spots for an unscheduled gearbox change; he finished eighth, but had five seconds added to his race time for serving a penalty under the safety car.",monaco/903,2014
"Note - Perez and Chilton qualified 11th and 21st respectively, but were dropped five and three grid places respectively for causing collisions at the previous round. Grosjean qualified P16, but started from the pit lane after gearbox and set-up changes.",austria/905,2014
Note - Magnussen had 10 seconds added to his race time for causing a collision.,spain/942,2016
Note - Wehrlein received a 10-second time penalty for ignoring blue flags and an identical penalty for driving too quickly under virtual safety car conditions. Bottas received a 10-second time penalty for causing a collision with Gutierrez.,monaco/943,2016
Note - Rosberg had 10 seconds added to his race time for causing a collision. Grosjean had five seconds added to his race time for speeding in the pit lane.,austria/945,2016
Note - Kvyat received a 5-second time penalty for speeding in the pit lane. Nasr received a 10-second penalty for causing a collision.,italy/950,2016
Note - Ocon received two five-second penalties for speeding in the pit lane. Rosberg received a 10-second penalty for causing a collision.,malaysia/952,2016
Note - Palmer received a 5-second time penalty for causing a collision with Sainz.,abu-dhabi/957,2016
Note - Wehrlein received a 5-second time penalty for an unsafe release. Perez received a 10-second time penalty for causing a collision.,monaco/964,2017
Note - Ericsson received a 5-second time penalty for causing a collision; Verstappen received the same for leaving the track and gaining an advantage.,united-states/975,2017
Note - Gasly and Verstappen received 10-second time penalties for causing collisions.,china/981,2018
Note - Magnussen received a 10-second time penalty for causing a collision.,azerbaijan/982,2018
Note - Raikkonen received a 10-second penalty for causing a collision. Gasly originally finished 10th but received a 5-second penalty for causing a collision.,great-britain/988,2018
Note - Bottas received a 10-second time penalty for causing a collision with Ricciardo,hungary/990,2018
Note - Bottas received a 5-second time penalty for causing a collision with Sirotkin,belgium/991,2018
Note - Verstappen received a 5-second time penalty for causing a collision with Bottas. Grosjean disqualified for a technical rule infringement with the floor on his car.,italy/992,2018
Note - Hartley received a 5-second time penalty for causing a collision.,mexico/997,2018
Note - Hamilton scored an additional point for setting the fastest lap of the race. Vettel received a ten-second time penalty for causing a collision.,great-britain/1009,2019
Note - Ricciardo and Hulkenberg were disqualified for use of driver aids on their cars. Leclerc received a 5-second and a 10-second post-race penalty for causing a collision and then driving his car in an unsafe condition. Hamilton scored an additional point for setting the fastest lap of the race.,japan/1016,2019
"Note - Kvyat received a post-race, 5-second time penalty for causing a collision. Leclerc scored an additional point for setting the fastest lap of the race.",united-states/1018,2019
"Note - Hulkenberg received a post-race, 5-second time penalty for overtaking under safety-car conditions. Hamilton received a post-race, 5-second time penalty for causing a collision.",brazil/1019,2019
Note - Norris scored an additional point for setting the fastest lap of the race. Hamilton received a 5-second time penalty for causing a collision. Perez received a 5-second time penalty for speeding in the pit lane.,austria/1045,2020
Note - Verstappen scored an additional point for setting the fastest lap of the race. Albon received a 5-second time penalty for causing a collision.,germany/1055,2020
Note - Bottas scored an additional point for setting the fastest lap of the race. Vettel received a 10-second time penalty for causing a collision.,bahrain/1064,2021
"Note - Verstappen scored an additional point for setting the fastest lap of the race. Perez received a 10-second time penalty for forcing another driver off track. Stroll received a 5-second time penalty for speeding in the pit lane. Tsunoda received a 5-second time penalty for crossing the white line at the pit entry. Raikkonen received a drive-through penalty, converted to a 20-second time penalty, for causing a collision. Mazepin and Latifi received 10-second stop-and-go penalties, converted to 30-second time penalties, for not respecting double yellow flags.",austria/1071,2021
Note - Norris scored an additional point for setting the fastest lap of the race. Stroll received a 10-second time penalty for causing a collision.,russia/1077,2021
Note - Hamilton scored an additional point for setting the fastest lap of the race. Tsunoda received a five-second time penalty for causing a collision. Verstappen received a five-second time penalty for leaving the track and gaining an advantage and a further 10-second penalty for causing a collision.,saudi-arabia/1106,2021
Note - Verstappen scored an additional point for setting the fastest lap of the race. Alonso and Magnussen received five-second time penalties for causing collisions. Ricciardo and Alonso received five-second time penalties for leaving the track and gaining an advantage.,miami/1110,2022
Note - Norris scored an additional point for setting the fastest lap of the race. Albon received a five-second time penalty for leaving the track and gaining an advantage. Ocon received a five-second time penalty for causing a collision.,monaco/1112,2022
Note - Verstappen scored an additional point for setting the fastest lap of the race. Gasly received a five-second time penalty for causing a collision. Vettel received a five-second time penalty for exceeding track limits.,austria/1115,2022
Note - Sainz scored an additional point for setting the fastest lap of the race. Zhou received a five-second time penalty for causing a collision.,france/1116,2022
Note - Hamilton scored an additional point for setting the fastest lap of the race. Ricciardo received a five-second time penalty for causing a collision.,hungary/1117,2022
Note - Russell scored an additional point for setting the fastest lap of the race. Ricciardo received a 10-second time penalty for causing a collision.,mexico/1136,2022
Note - Norris scored an additional point for setting the fastest lap of the race. Schumacher received a five-second time penalty for causing a collision.,abu-dhabi/1138,2022
Note - Perez scored an additional point for setting the fastest lap of the race. Sainz received a five-second time penalty for causing a collision.,australia/1143,2023
