Note,Race,Year
Note - Williams and Toyota disqualified after the race due to brake duct irregularities.,canada/760,2004
Note - Montoya disqualified for abandoning his race car on the grid to switch to the spare car less than 15 seconds before the start of the formation lap.,united-states/761,2004
Note - Button and  Sato disqualified from third and fifth respectively following a BAR weight infringement. A 25-second penalty was added to Ralf Schumacher's race time for an unsafe pit-lane manoeuvre.,san-marino/774,2005
Note - Montoya black flagged for ignoring pit-lane red light.,canada/778,2005
Note - all seven Michelin teams withdrew after the formation lap on tyre-related safety grounds.,united-states/779,2005
Note - Villeneuve forced to start from pit lane as penalty for infringement of parc ferme regulations.,brazil/787,2005
Note - Perez qualified 17th but dropped five grid places as penalty for an unscheduled gearbox change. De la Rosa and Karthikeyan did not qualify after failing to meet the Q1 107% time.,australia/10,2012
"Note - Kovalainen penalised five grid spots for safety-car infringement at previous round. Raikkonen penalised five grid spots for unscheduled gearbox change. Karthikeyan finished 21st, but had 20 seconds added to race time for causing a collision.",malaysia/11,2012
"Note - Hamilton qualified second, but dropped five grid places as penalty for an unscheduled gearbox change. Vergne qualified 18th, but started from the pit lane following pre-race car changes.",china/12,2012
"Note - Maldonado qualified 17th, Schumacher 18th. Both dropped five grid places as penalty for unscheduled gearbox changes.",bahrain/13,2012
"Note - Ricciardo originally finished second, but was excluded after his car was found to have exceeded the maximum permitted fuel flow rate.",australia/898,2014
"Note - Bottas qualified 15th, but was subsequently penalised three grid places for impeding during qualifying.",malaysia/899,2014
"Note - Ricciardo qualified third, but was penalised 10 grid places for an unsafe release at the previous round. Sutil qualified 18th, but was penalised five grid places for forcing Grosjean off track in Q1.",bahrain/900,2014
"Note - result was declared at the end of Lap 54 of 56, in accordance with Article 43.2 of the FIA Sporting Regulations (the chequered flag was shown to the leader at the end of Lap 55).",china/901,2014
"Note - Vergne qualified 16th, but was dropped 10 grid spots for an unsafe release in FP2. Vettel qualified P10, but was dropped five grid places for an unscheduled gearbox change. Maldonado failed to set a qualifying time, but raced at the stewards' discretion.",spain/902,2014
"Note - Ericsson qualified 22nd, but was required to start from the pit lane for causing a collision. Bianchi qualified 19th, but was dropped five grid spots for an unscheduled gearbox change; he finished eighth, but had five seconds added to his race time for serving a penalty under the safety car.",monaco/903,2014
"Note - Gutierrez did not take part in qualifying due to chassis damage sustained in FP3. Raced at the stewards' discretion, and started from the pit lane. Kobayashi qualified 20th, but was dropped five grid spots for an unscheduled gearbox change.",canada/904,2014
"Note - Perez and Chilton qualified 11th and 21st respectively, but were dropped five and three grid places respectively for causing collisions at the previous round. Grosjean qualified P16, but started from the pit lane after gearbox and set-up changes.",austria/905,2014
Note - Vettel and Palmer did not start following technical problems on the formation lap. Magnussen started the race from the pit lane as penalty for failing to stop for a mandatory weight check during FP2.,bahrain/939,2016
Note - Sainz received a 10-second time penalty for forcing another driver off the track. Nasr received a 5-second time penalty for not respecting the race director's instructions.,russia/941,2016
Note - Magnussen had 10 seconds added to his race time for causing a collision.,spain/942,2016
Note - Wehrlein received a 10-second time penalty for ignoring blue flags and an identical penalty for driving too quickly under virtual safety car conditions. Bottas received a 10-second time penalty for causing a collision with Gutierrez.,monaco/943,2016
"Note - Perez, Sainz and Magnussen had five-place grid penalties for unscheduled gearbox changes. Magnussen started from pit lane after suspension set-up changes in parc ferme after qualifying. Raikkonen had 5s added to his race time for crossing the pit entry line without entering the pits.",europe/958,2016
Note - Rosberg had 10 seconds added to his race time for causing a collision. Grosjean had five seconds added to his race time for speeding in the pit lane.,austria/945,2016
Note - Rosberg had 10s added to his race time for receiving illegal assistance via team radio. Vettel had 5s added to his race time for forcing Massa off track.,great-britain/946,2016
Note - Gutierrez had 5 seconds added to his race time for ignoring blue flags.,hungary/947,2016
Note - Grosjean had a five-place grid penalty for an unscheduled gearbox change. Hulkenberg had a one-place grid penalty for misuse tyres in qualifying. Sainz had a three-place grid penalty for impeding Massa during qualifying.,germany/948,2016
Note - Ericsson started from the pit lane.,belgium/949,2016
Note - Kvyat received a 5-second time penalty for speeding in the pit lane. Nasr received a 10-second penalty for causing a collision.,italy/950,2016
Note - Ocon received two five-second penalties for speeding in the pit lane. Rosberg received a 10-second penalty for causing a collision.,malaysia/952,2016
Note - Magnussen had 5 seconds added to his race time for leaving the track and gaining a lasting advantage.,united-states/954,2016
Note - Sainz received a 5s time penalty for forcing Alonso off track. Kvyat and Verstappen received identical penalties for leaving the track and gaining a lasting advantage. Vettel received a 10s time penalty for driving dangerously or erratically.,mexico/955,2016
Note - Ricciardo received a 5-second penalty for entering the pit lane when the entry was closed. Massa received a 5-second penalty for overtaking before the safety car line.,brazil/956,2016
Note - Palmer received a 5-second time penalty for causing a collision with Sainz.,abu-dhabi/957,2016
Note - Wehrlein had a 5-second penalty applied to his race time for failing to keep to the right of the pit-entry bollard.,spain/963,2017
Note - Wehrlein received a 5-second time penalty for an unsafe release. Perez received a 10-second time penalty for causing a collision.,monaco/964,2017
Note - Magnussen had 5 seconds added to his race time for forcing another driver off the track.,hungary/969,2017
Note - Ericsson received a 5-second time penalty for causing a collision; Verstappen received the same for leaving the track and gaining an advantage.,united-states/975,2017
Note – Perez originally finished 12th but had 30s added to race time for passing on the formation lap. Hartley originally finished 13th but had 30s added to race time for failing to retake his original starting position before reaching the safety-car line on the formation lap.,bahrain/980,2018
Note - Gasly and Verstappen received 10-second time penalties for causing collisions.,china/981,2018
Note - Magnussen received a 10-second time penalty for causing a collision.,azerbaijan/982,2018
Note - Hartley received a 5-second time penalty for speeding in the pit lane.,monaco/984,2018
